rep,seqtype,line,period,spec
rep1,rna,Ara-3,2.0571428571428574,587.9224154456664
rep1,rna,Ara-3,2.028169014084507,2781.7259676368726
rep1,rna,Ara-3,2.0000000000000004,4652.5276349888145
rep1,rna,Ara-4,4,40069.81817307832
rep1,rna,Ara-4,3.891891891891892,109111.22289858853
rep1,rna,Ara-4,3.789473684210527,128029.54615241277
rep1,rna,Ara-4,3.6923076923076925,59685.19697240081
rep1,rna,Ara-4,3.6000000000000005,392104.86779521994
rep1,rna,Ara-4,3.5121951219512195,7887.935501958033
rep1,rna,Ara-4,3.428571428571429,43635.576142675876
rep1,rna,Ara-4,3.348837209302326,116904.32680865284
rep1,rna,Ara-4,3.272727272727273,164291.40757321045
rep1,rna,Ara-4,3.2000000000000006,257954.59821941415
rep1,rna,Ara-4,3.130434782608696,81750.19390517591
rep1,rna,Ara-4,3.063829787234043,29637.378604563262
rep1,rna,Ara-4,3,5080023.943717144
rep1,rna,Ara-4,2.938775510204082,102334.30204742333
rep1,rna,Ara-4,2.880000000000001,154671.5145690185
rep1,rna,Ara-4,2.823529411764706,195013.60134806132
rep1,rna,Ara-4,2.7692307692307696,22878.8042708132
rep1,rna,Ara-4,2.716981132075472,171676.37704101004
rep1,rna,Ara-4,2.666666666666667,130050.95983228438
rep1,rna,Ara-4,2.618181818181818,71049.78482890462
rep1,rna,Ara-4,2.5714285714285716,37083.28647229758
rep1,rna,Ara-4,2.5263157894736845,17667.370371651352
rep1,rna,Ara-4,2.4827586206896552,44070.72218395518
rep1,rna,Ara-4,2.4406779661016955,336052.91514009266
rep1,rna,Ara-4,2.4000000000000004,29189.099229537205
rep1,rna,Ara-4,2.3606557377049184,212558.27228590945
rep1,rna,Ara-4,2.3225806451612905,75282.48155395691
rep1,rna,Ara-4,2.285714285714286,12993.199728436643
rep1,rna,Ara-4,2.25,151701.76678310073
rep1,rna,Ara-4,2.2153846153846155,335303.76397031674
rep1,rna,Ara-4,2.181818181818182,392.02105319150735
rep1,rna,Ara-4,2.1492537313432836,49172.724721094804
rep1,rna,Ara-4,2.11764705882353,266511.9747019787
rep1,rna,Ara-4,2.0869565217391304,14793.52998620472
rep1,rna,Ara-4,2.0571428571428574,36289.586560432675
rep1,rna,Ara-4,2.028169014084507,43295.87659729385
rep1,rna,Ara-4,2.0000000000000004,79983.56828653534
rep1,rna,Ara-5,4,85454.44087280388
rep1,rna,Ara-5,3.891891891891892,18829.528128464135
rep1,rna,Ara-5,3.789473684210527,6271.688731277195
rep1,rna,Ara-5,3.6923076923076925,144810.9108299037
rep1,rna,Ara-5,3.6000000000000005,95902.25760428458
rep1,rna,Ara-5,3.5121951219512195,62500.07924814837
rep1,rna,Ara-5,3.428571428571429,156152.54438978605
rep1,rna,Ara-5,3.348837209302326,30973.81964827721
rep1,rna,Ara-5,3.272727272727273,73123.07961996495
rep1,rna,Ara-5,3.2000000000000006,62834.99705870617
rep1,rna,Ara-5,3.130434782608696,92426.85875920506
rep1,rna,Ara-5,3.063829787234043,117097.80321490823
rep1,rna,Ara-5,3,2564896.9013818246
