line,target_id,n
AraM1,ECB_00378,1
AraM1,ECB_00379,1
AraM1,ECB_00380,1
AraM1,ECB_00381,1
AraM1,ECB_00382,1
AraM1,ECB_00383,1
AraM1,ECB_00384,1
AraM1,ECB_00385,1
AraM1,ECB_00386,1
AraM1,ECB_00387,1
AraM1,ECB_00388,1
AraM1,ECB_00389,1
AraM1,ECB_00390,1
AraM1,ECB_00391,1
AraM1,ECB_00392,1
AraM1,ECB_00393,1
AraM1,ECB_00394,1
AraM1,ECB_00395,1
AraM1,ECB_00396,1
AraM1,ECB_00397,1
AraM1,ECB_00398,1
AraM1,ECB_00399,1
AraM1,ECB_00400,1
AraM1,ECB_00401,1
AraM1,ECB_00402,1
AraM1,ECB_00403,1
AraM1,ECB_00404,1
AraM1,ECB_00405,1
AraM1,ECB_00406,1
AraM1,ECB_00407,1
AraM1,ECB_00408,1
AraM1,ECB_00409,1
AraM1,ECB_00410,1
AraM1,ECB_00411,1
AraM1,ECB_00412,1
AraM1,ECB_00413,1
AraM1,ECB_00414,1
AraM1,ECB_00415,1
AraM1,ECB_00416,1
AraM1,ECB_00417,1
AraM1,ECB_00418,1
AraM1,ECB_00419,1
AraM1,ECB_00420,1
AraM1,ECB_00421,1
AraM1,ECB_00422,1
AraM1,ECB_00423,1
AraM1,ECB_00424,1
AraM1,ECB_00425,1
AraM1,ECB_00426,1
AraM1,ECB_00427,1
AraM1,ECB_00428,1
AraM1,ECB_00430,1
AraM1,ECB_00431,1
AraM1,ECB_00432,1
AraM1,ECB_00433,1
AraM1,ECB_00434,1
AraM1,ECB_00435,1
AraM1,ECB_00436,1
AraM1,ECB_00437,1
AraM1,ECB_00438,1
AraM1,ECB_00439,1
AraM1,ECB_00440,1
AraM1,ECB_00441,1
AraM1,ECB_00442,1
AraM1,ECB_00443,1
AraM1,ECB_00444,1
AraM1,ECB_00445,1
AraM1,ECB_00446,1
AraM1,ECB_00447,1
AraM1,ECB_00448,1
AraM1,ECB_00449,1
AraM1,ECB_00450,1
AraM1,ECB_00451,1
AraM1,ECB_00452,1
AraM1,ECB_00453,1
AraM1,ECB_00454,1
AraM1,ECB_00455,1
AraM1,ECB_00456,1
AraM1,ECB_00457,1
AraM1,ECB_00458,1
AraM1,ECB_00459,1
AraM1,ECB_00460,1
AraM1,ECB_00461,1
AraM1,ECB_00462,1
AraM1,ECB_00463,1
AraM1,ECB_00464,1
AraM1,ECB_00465,1
AraM1,ECB_00466,1
AraM1,ECB_00467,1
AraM1,ECB_00468,1
AraM1,ECB_00469,1
AraM1,ECB_00470,1
AraM1,ECB_00471,1
AraM1,ECB_00472,1
AraM1,ECB_00473,1
AraM1,ECB_00474,1
AraM1,ECB_00475,1
AraM1,ECB_00476,1
AraM1,ECB_00477,1
AraM1,ECB_00478,1
AraM1,ECB_00479,1
AraM1,ECB_00480,1
AraM1,ECB_00481,1
AraM1,ECB_00482,1
AraM1,ECB_00483,1
AraM1,ECB_00484,1
AraM1,ECB_00485,1
AraM1,ECB_00486,1
AraM1,ECB_00487,1
AraM1,ECB_00488,1
AraM1,ECB_00489,1
AraM1,ECB_00490,1
AraM1,ECB_00492,1
AraM1,ECB_00493,1
AraM1,ECB_00494,1
AraM1,ECB_00495,1
AraM1,ECB_00496,1
AraM1,ECB_00497,1
AraM1,ECB_00498,1
AraM1,ECB_00499,1
AraM1,ECB_00500,1
AraM1,ECB_00501,1
AraM1,ECB_00502,1
AraM1,ECB_00504,1
AraM1,ECB_00505,1
AraM1,ECB_00514,1
AraM1,ECB_00515,1
AraM1,ECB_00516,1
AraM1,ECB_00517,1
AraM1,ECB_00518,1
AraM1,ECB_00519,1
AraM1,ECB_00520,1
AraM1,ECB_00521,1
AraM1,ECB_00522,1
AraM1,ECB_00524,1
AraM1,ECB_00525,1
AraM1,ECB_00526,1
AraM1,ECB_00527,1
AraM1,ECB_00528,1
AraM1,ECB_00529,1
AraM1,ECB_00530,1
AraM1,ECB_00531,1
AraM1,ECB_00533,1
AraM1,ECB_00534,1
AraM1,ECB_00535,1
AraM1,ECB_00536,1
AraM1,ECB_00537,1
AraM1,ECB_00538,1
AraM1,ECB_00539,1
AraM1,ECB_00540,1
AraM1,ECB_00541,1
AraM1,ECB_00542,1
AraM1,ECB_00543,1
AraM1,ECB_00545,1
AraM1,ECB_00546,1
AraM1,ECB_00547,1
AraM1,ECB_00548,1
AraM1,ECB_00549,1
AraM1,ECB_00550,1
AraM1,ECB_00551,1
AraM1,ECB_00552,1
AraM1,ECB_00553,1
AraM1,ECB_00554,1
AraM1,ECB_00555,1
AraM1,ECB_00556,1
AraM1,ECB_00557,1
AraM1,ECB_00558,1
AraM1,ECB_00559,1
