line,target_id
Ara-4,ECB_00614
Ara-4,ECB_00624
Ara-4,ECB_00652
Ara-4,ECB_00660
Ara-4,ECB_00690
Ara-4,ECB_00735
Ara-4,ECB_00775
Ara-4,ECB_00782
Ara-4,ECB_00800
Ara-4,ECB_00802
Ara-4,ECB_00907
Ara-4,ECB_00929
Ara-4,ECB_00940
Ara-4,ECB_00948
Ara-4,ECB_00971
Ara-4,ECB_00986
Ara-4,ECB_00996
Ara-4,ECB_01000
Ara-4,ECB_01025
Ara-4,ECB_01043
Ara-4,ECB_01093
Ara-4,ECB_01094
Ara-4,ECB_01177
Ara-4,ECB_01306
Ara-4,ECB_01385
Ara-4,ECB_01396
Ara-4,ECB_01437
Ara-4,ECB_01459
Ara-4,ECB_01462
Ara-4,ECB_01465
Ara-4,ECB_01475
Ara-4,ECB_01479
Ara-4,ECB_01509
Ara-4,ECB_01512
Ara-4,ECB_01513
Ara-4,ECB_01514
Ara-4,ECB_01515
Ara-4,ECB_01516
Ara-4,ECB_01517
Ara-4,ECB_01518
Ara-4,ECB_01519
Ara-4,ECB_01520
Ara-4,ECB_01521
Ara-4,ECB_01522
Ara-4,ECB_01523
Ara-4,ECB_01524
Ara-4,ECB_01525
Ara-4,ECB_01528
Ara-4,ECB_01570
Ara-4,ECB_01580
Ara-4,ECB_01616
Ara-4,ECB_01625
Ara-4,ECB_01631
Ara-4,ECB_01632
Ara-4,ECB_01657
Ara-4,ECB_01691
Ara-4,ECB_01750
Ara-4,ECB_01771
Ara-4,ECB_01778
Ara-4,ECB_01816
Ara-4,ECB_01828
Ara-4,ECB_01844
Ara-4,ECB_01856
Ara-4,ECB_01901
Ara-4,ECB_01902
Ara-4,ECB_01906
Ara-4,ECB_01932
Ara-4,ECB_01933
Ara-4,ECB_01934
Ara-4,ECB_01935
Ara-4,ECB_01936
Ara-4,ECB_01937
Ara-4,ECB_01938
Ara-4,ECB_01939
Ara-4,ECB_01940
Ara-4,ECB_01941
Ara-4,ECB_01942
Ara-4,ECB_01943
Ara-4,ECB_01944
Ara-4,ECB_01945
